school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,T,2,1,services,teacher,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,2,21,10,8,8
GP,M,20,U,GT3,T,1,3,services,teacher,reputation,mother,3,1,0,no,yes,yes,no,no,yes,yes,no,5,4,4,1,2,3,2,9,9,10
MS,F,18,R,LE3,T,4,3,services,at_home,other,mother,4,2,2,no,yes,yes,yes,yes,yes,no,no,4,4,4,2,3,4,14,10,10,9
MS,F,16,U,GT3,T,4,2,at_home,at_home,other,mother,1,2,1,no,yes,yes,no,yes,yes,yes,no,4,2,1,1,4,2,32,9,8,7
GP,M,15,U,LE3,T,1,4,services,other,home,other,1,1,0,no,yes,no,no,yes,yes,no,no,4,4,1,3,1,5,13,13,10,11
GP,M,16,R,LE3,T,4,4,at_home,health,other,father,1,3,0,no,no,yes,yes,yes,yes,yes,no,2,3,1,1,1,1,0,10,10,8
MS,F,17,U,GT3,T,3,3,at_home,teacher,course,mother,2,3,0,yes,yes,no,yes,yes,yes,no,no,2,4,4,1,2,5,25,13,15,16
GP,F,15,R,GT3,T,2,3,services,at_home,reputation,other,2,1,0,no,yes,no,no,yes,yes,no,yes,3,3,3,1,4,5,7,13,12,11
GP,M,17,U,GT3,T,1,2,health,services,reputation,mother,2,3,0,yes,yes,no,no,yes,yes,no,no,4,2,1,1,1,3,15,13,15,0
GP,F,17,U,GT3,T,3,4,services,teacher,reputation,father,1,2,2,no,yes,no,yes,yes,yes,yes,yes,5,3,3,1,3,5,9,11,9,9
GP,M,16,R,GT3,A,4,3,services,other,course,father,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,1,2,3,25,10,9,7
MS,M,18,U,GT3,T,4,3,services,health,course,mother,1,3,1,no,yes,yes,no,yes,no,yes,yes,4,2,4,1,1,5,27,13,13,13
MS,M,15,U,GT3,T,1,4,health,at_home,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,1,1,4,11,13,13,14
GP,M,15,U,GT3,T,1,2,teacher,services,course,mother,2,3,1,yes,no,yes,no,yes,yes,no,no,3,1,3,2,1,3,19,8,8,9
GP,M,18,U,GT3,T,2,4,teacher,health,course,mother,4,1,1,no,yes,yes,yes,no,yes,yes,no,3,3,2,1,4,4,13,4,3,5
GP,M,17,U,LE3,T,2,1,at_home,services,other,father,3,1,0,no,yes,no,no,yes,yes,no,no,4,1,2,1,2,5,28,6,7,5
GP,F,18,U,GT3,T,2,2,at_home,other,course,mother,3,4,0,no,yes,yes,no,yes,no,yes,no,5,2,4,2,2,5,11,6,6,8
MS,M,17,R,GT3,T,2,2,health,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,5,5,3,2,17,13,13,13
MS,M,16,U,LE3,T,4,4,other,other,course,mother,1,2,2,no,yes,no,yes,yes,yes,yes,no,4,2,3,2,3,4,1,8,8,6
MS,F,19,U,GT3,T,4,4,teacher,health,course,mother,2,3,2,no,yes,yes,no,no,yes,yes,no,5,4,3,1,2,3,1,9,9,9
GP,F,18,U,LE3,T,2,3,at_home,other,reputation,mother,3,3,0,no,yes,no,yes,no,yes,yes,yes,3,2,3,2,1,5,16,11,13,12
GP,F,18,U,GT3,T,4,3,teacher,services,course,mother,1,3,0,yes,no,yes,no,yes,yes,yes,no,4,4,3,2,2,1,9,14,14,13
GP,M,16,U,GT3,T,2,3,health,other,other,father,1,2,0,no,yes,no,yes,no,yes,no,no,4,2,2,1,1,5,17,13,13,11
MS,M,17,R,GT3,T,3,4,health,at_home,other,mother,1,3,1,no,yes,yes,yes,yes,yes,yes,no,4,2,3,3,3,2,21,11,9,9
GP,M,16,U,GT3,T,2,2,other,other,other,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,3,3,1,1,1,4,18,11,13,13
GP,M,15,U,GT3,T,3,2,other,services,home,father,1,1,0,no,yes,yes,yes,no,yes,yes,no,4,5,2,4,2,5,0,11,11,10
GP,M,20,U,GT3,T,4,1,health,teacher,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,2,1,5,23,16,17,19
GP,M,15,U,GT3,T,3,4,at_home,teacher,course,father,1,1,0,no,no,yes,no,yes,yes,yes,no,3,4,1,2,5,5,24,5,5,4
GP,M,21,U,LE3,T,2,3,teacher,other,home,father,1,2,1,no,no,yes,no,yes,yes,yes,yes,4,2,1,2,2,4,30,8,8,9
GP,M,17,U,GT3,T,3,2,services,at_home,course,mother,3,3,0,no,no,yes,yes,no,yes,yes,no,3,4,2,1,1,5,30,15,16,17
GP,M,16,R,LE3,A,1,1,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,5,1,4,1,5,4,1,15,15,14
GP,M,17,U,GT3,T,4,4,services,services,home,mother,2,1,0,no,yes,no,no,no,yes,yes,yes,4,3,4,3,2,5,18,12,11,11
GP,M,19,U,GT3,T,3,0,at_home,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,no,no,5,4,1,2,5,4,11,11,10,9
GP,F,18,U,GT3,T,3,3,other,teacher,other,mother,3,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,3,1,4,9,17,19,19
GP,F,19,U,LE3,T,3,4,services,other,home,mother,1,2,3,no,yes,no,yes,no,yes,yes,no,3,5,2,3,1,3,30,8,7,6
GP,M,18,U,LE3,T,3,2,at_home,other,other,mother,4,3,1,yes,no,no,yes,yes,yes,yes,no,2,1,4,5,3,4,21,11,13,13
GP,F,18,U,GT3,A,1,2,teacher,other,home,mother,2,3,0,no,yes,yes,no,no,yes,yes,no,3,5,4,2,4,2,22,16,19,20
GP,F,19,U,LE3,T,3,3,at_home,services,reputation,father,4,2,0,no,no,no,yes,yes,yes,yes,no,3,4,4,1,1,5,22,13,12,12
GP,M,16,U,LE3,T,2,4,other,at_home,other,father,3,3,2,yes,yes,yes,no,yes,yes,yes,no,4,4,3,1,5,5,14,12,12,10
MS,F,17,U,LE3,T,4,3,health,other,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,2,2,5,2,3,5,25,14,12,13
GP,F,16,U,GT3,T,4,4,teacher,services,other,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,3,5,1,4,2,2,10,10,10
GP,M,22,R,GT3,T,4,1,services,other,reputation,father,1,3,2,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,2,3,22,14,14,12
GP,M,21,R,GT3,T,3,3,other,other,home,father,2,2,1,yes,no,no,yes,no,yes,yes,no,4,3,3,1,1,5,19,3,1,1
GP,F,15,U,LE3,T,3,3,health,other,course,father,1,4,3,no,yes,yes,yes,no,yes,yes,no,4,4,3,3,5,3,7,2,0,0
GP,F,18,R,GT3,T,1,4,at_home,other,other,mother,1,2,2,yes,no,no,no,yes,yes,yes,no,4,5,3,3,5,4,17,6,5,4
GP,M,20,U,GT3,A,4,1,health,services,home,father,1,3,2,no,no,yes,yes,no,yes,yes,no,5,3,1,2,2,5,5,8,8,7
MS,M,16,U,GT3,T,2,4,other,services,reputation,mother,1,2,0,yes,no,no,yes,no,yes,yes,yes,3,4,2,1,1,4,26,13,12,0
GP,M,17,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,2,1,3,14,9,8,9
MS,F,20,U,LE3,T,2,2,health,teacher,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,2,2,5,4,11,10,10
GP,F,15,U,LE3,T,1,1,at_home,other,reputation,mother,1,3,0,no,no,no,no,no,yes,yes,no,4,2,5,1,1,1,8,11,10,9
MS,M,18,R,GT3,A,3,4,health,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,1,1,2,5,6,18,18,20
GP,M,16,U,GT3,T,1,1,other,at_home,course,mother,1,4,0,yes,no,no,yes,no,yes,yes,no,4,3,2,1,1,1,19,10,12,0
GP,F,20,U,LE3,T,4,2,other,other,home,father,1,1,0,no,yes,no,yes,no,yes,yes,no,4,4,4,2,3,5,9,6,7,4
GP,M,21,U,LE3,T,2,2,services,services,other,father,3,1,0,no,yes,no,no,no,yes,yes,no,4,2,3,2,1,1,25,14,16,15
GP,M,21,R,LE3,A,0,4,services,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,5,2,1,2,5,3,9,10,11
GP,F,17,U,GT3,T,3,3,teacher,teacher,home,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,no,5,1,5,4,2,1,23,11,11,11
GP,F,19,U,LE3,T,1,4,other,at_home,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,3,5,13,10,11,10
GP,F,19,U,GT3,T,2,2,services,services,home,father,2,2,1,no,yes,no,no,yes,yes,yes,no,3,4,3,1,2,4,0,12,12,11
GP,F,16,U,GT3,A,4,3,health,services,course,mother,3,3,0,no,yes,yes,no,yes,no,no,no,5,2,4,1,1,2,16,8,7,6
GP,M,19,R,GT3,T,1,3,at_home,other,course,other,3,2,0,yes,yes,no,no,yes,yes,yes,no,5,2,4,1,3,5,23,3,5,0
MS,M,15,R,LE3,T,4,4,health,other,other,mother,2,2,1,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,4,26,14,12,11
MS,F,17,U,LE3,T,0,4,at_home,services,course,mother,1,4,0,no,no,yes,yes,no,yes,yes,no,4,5,4,1,3,3,6,13,15,16
MS,M,16,R,GT3,T,2,0,services,services,reputation,father,1,1,0,no,no,yes,yes,yes,yes,yes,yes,5,3,1,1,5,1,8,14,14,14
GP,M,15,U,GT3,T,4,3,teacher,other,other,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,3,1,3,4,11,15,14,14
GP,M,15,R,GT3,T,2,1,health,teacher,course,mother,3,4,0,no,no,yes,yes,yes,yes,yes,no,3,3,1,2,3,1,20,10,11,13
MS,M,18,U,GT3,T,1,3,health,health,home,mother,2,3,2,no,no,no,yes,yes,yes,yes,no,4,2,1,1,1,2,2,9,8,8
GP,M,16,U,LE3,T,2,2,health,health,reputation,other,2,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,5,1,2,3,14,13,12,13
MS,M,18,U,GT3,T,2,2,at_home,at_home,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,3,2,2,5,20,11,10,8
MS,M,15,U,GT3,T,4,2,services,health,other,father,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,1,1,4,9,11,10,9
MS,M,16,U,LE3,T,2,3,health,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,yes,4,5,4,3,2,1,32,11,10,9
GP,F,17,U,GT3,T,4,2,health,at_home,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,3,2,5,4,1,5,5,15,15,15
GP,F,18,U,GT3,T,4,3,teacher,at_home,course,father,1,3,0,no,no,no,yes,no,yes,yes,yes,5,4,4,1,3,5,1,11,10,11
MS,F,16,U,GT3,T,3,2,teacher,services,other,mother,2,2,0,no,yes,yes,no,no,yes,yes,no,3,3,3,4,2,3,28,13,13,13
GP,F,17,U,GT3,T,4,1,services,at_home,home,father,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,3,3,2,2,32,12,11,12
GP,F,20,U,GT3,T,2,4,services,other,other,mother,3,2,0,yes,yes,yes,yes,no,yes,yes,yes,4,3,2,4,5,5,3,9,9,0
GP,M,17,R,GT3,T,4,2,other,other,home,mother,1,1,0,no,yes,yes,yes,no,yes,yes,yes,5,3,3,2,2,4,3,12,13,13
MS,F,16,U,LE3,T,1,2,teacher,other,reputation,father,2,1,0,no,yes,yes,yes,no,yes,yes,no,3,4,3,1,2,3,28,6,6,7
GP,F,15,U,GT3,A,3,3,other,at_home,course,mother,2,2,2,no,yes,yes,no,yes,yes,yes,no,4,4,3,3,1,4,19,10,9,9
GP,F,19,U,GT3,T,3,2,at_home,other,other,father,1,1,0,no,yes,yes,no,yes,no,yes,yes,3,3,4,1,4,5,22,14,13,13
GP,M,15,R,LE3,T,2,1,other,other,reputation,mother,2,1,0,yes,no,yes,yes,yes,yes,yes,no,4,4,5,1,2,2,17,14,15,15
GP,M,19,U,GT3,T,3,2,health,other,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,3,4,1,3,5,24,9,9,10
MS,M,17,U,GT3,A,4,4,other,teacher,other,mother,2,1,0,yes,no,no,yes,yes,yes,yes,no,4,4,4,1,1,5,0,9,11,9
GP,M,20,R,GT3,T,0,3,services,teacher,other,mother,3,1,1,no,yes,yes,no,yes,yes,no,no,4,2,3,1,2,4,14,10,8,0
GP,F,18,R,GT3,T,2,3,at_home,services,reputation,mother,2,2,0,no,no,yes,no,no,yes,yes,no,2,2,1,2,1,5,19,10,10,0
MS,F,22,U,GT3,T,4,3,health,other,home,father,1,1,1,no,yes,yes,yes,no,yes,no,no,5,3,2,4,3,2,26,4,5,4
GP,M,16,U,LE3,T,3,1,other,services,reputation,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,4,4,21,10,9,0
GP,F,18,U,LE3,T,4,2,at_home,services,other,father,1,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,2,4,3,4,4,10,9,9
GP,F,17,R,LE3,T,4,3,at_home,other,reputation,mother,1,3,0,no,yes,yes,no,no,no,yes,no,4,3,4,4,3,4,2,15,16,17
GP,M,17,U,GT3,A,4,1,health,other,home,mother,1,4,2,no,yes,yes,no,yes,yes,yes,yes,4,2,3,1,2,3,16,15,15,15
GP,M,17,U,GT3,T,4,2,other,other,course,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,3,3,23,12,13,15
MS,M,19,R,LE3,T,2,2,at_home,services,course,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4,4,2,3,2,2,23,13,14,14
MS,M,22,U,GT3,T,1,2,at_home,other,reputation,mother,1,3,0,no,no,yes,yes,yes,yes,yes,yes,4,4,3,2,3,3,2,15,15,15
MS,M,18,U,GT3,T,4,4,teacher,services,home,mother,2,3,0,no,yes,no,yes,yes,yes,no,no,5,2,3,2,1,3,6,6,8,10
MS,M,17,U,GT3,T,3,1,at_home,services,course,mother,3,1,3,yes,yes,yes,no,no,yes,yes,yes,5,1,4,2,1,5,24,3,0,0
GP,M,17,U,GT3,T,1,3,teacher,services,reputation,other,1,2,0,no,yes,no,yes,yes,yes,yes,yes,2,4,4,1,2,1,2,12,13,13
GP,M,18,U,LE3,T,2,1,other,services,reputation,mother,1,3,0,yes,yes,no,no,yes,yes,yes,yes,4,2,3,1,2,5,14,17,19,0
MS,F,16,U,GT3,A,4,4,other,services,home,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,2,2,4,2,1,3,28,13,12,12
GP,M,15,U,GT3,T,3,1,other,other,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,yes,3,1,3,1,3,1,28,12,10,0
GP,F,16,U,GT3,T,3,2,services,health,reputation,mother,2,3,0,no,no,no,yes,no,yes,yes,no,4,3,5,2,1,3,9,11,11,12
MS,M,16,R,GT3,T,3,3,other,other,other,father,1,3,0,no,no,yes,no,yes,yes,yes,no,5,3,2,3,1,3,31,13,14,15
MS,F,16,U,GT3,T,2,3,at_home,at_home,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,2,3,4,22,9,8,0
GP,M,16,R,GT3,T,2,2,health,services,course,mother,2,2,2,no,no,no,no,yes,yes,yes,no,4,3,3,5,2,3,8,6,6,0
GP,M,15,U,LE3,T,2,2,teacher,at_home,other,mother,2,1,0,no,yes,yes,yes,yes,yes,no,no,5,4,2,1,3,5,13,9,11,11
GP,F,15,R,GT3,T,1,2,services,services,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,5,2,2,2,2,5,3,16,15,16
GP,F,22,R,GT3,T,4,2,other,at_home,course,mother,3,2,1,no,yes,no,no,yes,yes,yes,no,4,4,3,2,5,4,19,7,5,3
GP,F,17,U,GT3,T,3,2,other,at_home,course,father,2,2,0,yes,yes,no,yes,yes,yes,yes,no,4,4,2,5,3,5,27,10,10,10
GP,M,16,U,LE3,T,4,2,health,health,course,father,2,3,0,no,yes,yes,no,yes,yes,no,no,4,4,2,2,1,1,13,13,13,13
GP,M,18,R,LE3,A,4,2,health,health,reputation,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,3,5,1,2,4,12,9,9,9
GP,F,16,U,LE3,T,2,2,services,at_home,reputation,mother,2,3,0,no,no,yes,yes,no,yes,no,no,3,2,4,4,1,5,30,13,15,15
GP,F,21,U,GT3,T,3,3,teacher,other,other,father,1,2,0,yes,no,yes,yes,no,yes,no,yes,3,3,4,2,5,3,32,12,12,11
GP,F,18,U,GT3,T,3,4,other,services,course,father,2,2,2,no,no,no,no,yes,yes,no,no,4,4,4,1,1,1,27,7,6,4
GP,F,15,R,LE3,T,4,3,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,5,2,2,2,24,11,11,11
MS,M,17,U,GT3,T,2,1,at_home,other,home,father,2,1,0,no,no,yes,no,yes,no,yes,no,4,5,3,3,1,4,31,8,8,8
GP,F,19,R,GT3,T,3,1,at_home,other,other,mother,1,2,1,no,no,no,no,no,yes,yes,no,4,5,2,2,4,4,8,14,14,13
GP,M,21,U,GT3,T,3,4,services,other,home,mother,2,1,3,no,no,yes,no,yes,yes,yes,no,4,3,4,1,1,3,27,7,8,7
GP,M,17,R,GT3,T,2,2,other,at_home,other,father,3,3,0,no,no,yes,yes,yes,yes,yes,no,3,5,4,3,5,4,30,9,10,13
MS,M,17,U,GT3,T,1,1,services,other,other,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,4,2,3,3,1,4,16,13,15,0
GP,F,16,U,GT3,T,3,3,other,other,reputation,father,3,4,0,no,yes,no,yes,no,yes,yes,yes,5,1,3,2,1,5,22,13,14,15
GP,M,22,U,LE3,T,4,3,health,services,reputation,mother,1,2,2,no,no,no,no,yes,yes,yes,yes,3,1,3,1,1,2,12,2,0,0
GP,M,16,U,GT3,A,2,3,services,services,home,father,2,1,2,yes,yes,no,no,yes,yes,yes,no,2,4,5,1,4,5,9,12,10,9
GP,F,21,U,GT3,T,3,2,other,teacher,other,other,3,2,0,yes,no,no,no,yes,yes,yes,no,4,2,3,2,4,5,15,9,9,11
GP,M,17,U,GT3,T,2,0,services,other,course,father,1,3,0,no,yes,no,no,yes,yes,yes,no,4,5,5,3,1,5,5,18,19,20
GP,F,17,U,GT3,T,4,4,services,other,reputation,mother,4,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,1,1,5,10,13,13,0
GP,M,17,U,GT3,T,2,2,other,health,course,mother,1,4,1,no,yes,no,no,no,no,yes,no,4,3,4,1,3,4,2,8,9,10
GP,F,16,U,LE3,T,4,3,other,at_home,home,mother,1,2,0,yes,no,no,yes,no,yes,no,no,4,4,3,1,1,3,27,11,10,11
MS,F,16,U,GT3,T,2,3,teacher,at_home,reputation,mother,3,4,0,yes,yes,no,no,yes,yes,yes,no,3,3,3,2,1,4,14,15,16,16
GP,M,16,U,LE3,T,2,3,services,health,reputation,mother,1,3,3,no,yes,yes,no,no,yes,yes,no,4,3,1,1,1,5,12,7,7,6
GP,M,16,U,LE3,T,1,2,at_home,other,other,father,4,3,0,yes,no,no,no,yes,yes,yes,no,4,4,2,1,1,4,16,16,15,15
MS,M,18,U,GT3,T,1,2,services,services,home,mother,4,2,0,no,no,no,yes,yes,no,yes,yes,5,3,4,1,1,1,6,10,11,11
GP,M,16,U,GT3,T,3,3,services,teacher,other,other,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,2,1,1,27,11,12,11
GP,F,15,U,LE3,T,2,4,other,at_home,reputation,mother,2,2,0,yes,yes,no,yes,no,yes,yes,no,5,3,2,1,2,5,12,14,13,14
GP,M,21,U,GT3,A,4,4,services,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,3,2,1,4,1,16,13,13,13
GP,F,20,U,GT3,T,0,1,services,teacher,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,4,1,1,14,8,8,7
MS,M,20,U,LE3,T,2,1,at_home,other,home,father,1,2,1,no,yes,no,yes,no,yes,yes,no,4,4,3,1,3,3,27,11,10,9
MS,F,22,R,GT3,T,2,4,other,at_home,reputation,father,1,2,2,no,no,no,no,yes,yes,yes,no,5,3,5,1,1,5,14,9,7,6
GP,F,16,U,GT3,T,0,3,services,health,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,yes,3,3,3,4,3,3,10,9,9,11
GP,F,16,U,GT3,T,1,4,health,health,course,father,1,2,0,no,no,no,yes,yes,no,yes,no,4,3,3,1,1,4,30,7,7,7
GP,F,18,U,LE3,T,3,2,teacher,at_home,other,mother,4,1,0,no,no,no,yes,yes,no,yes,no,4,5,1,2,3,5,3,5,3,3
GP,M,18,U,GT3,T,3,3,at_home,services,course,mother,2,4,1,no,yes,yes,no,no,yes,yes,yes,4,2,3,1,1,1,26,10,9,11
GP,M,16,U,GT3,T,2,3,services,other,reputation,mother,2,1,1,yes,yes,no,yes,yes,yes,yes,no,3,3,4,3,4,5,9,9,7,8
GP,F,19,U,GT3,T,3,3,health,other,reputation,father,2,2,0,no,no,no,no,yes,yes,no,yes,4,4,2,1,1,4,29,13,12,13
GP,F,16,U,LE3,T,3,2,services,other,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,5,3,3,2,4,19,14,14,15
GP,F,16,U,GT3,T,0,0,services,services,other,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,4,1,5,5,28,11,12,12
GP,M,17,U,LE3,T,3,3,other,other,course,other,2,1,0,no,no,no,yes,yes,yes,no,yes,4,3,4,1,2,5,28,11,10,9
MS,F,17,U,GT3,T,4,2,other,at_home,home,other,4,2,0,no,no,yes,yes,yes,yes,yes,no,4,3,4,3,2,4,22,9,10,10
GP,F,17,R,LE3,T,3,2,other,services,home,father,1,2,1,no,yes,yes,no,no,yes,yes,yes,5,1,3,5,5,2,20,10,11,11
GP,M,15,U,GT3,T,3,4,health,teacher,home,father,2,1,2,no,no,no,no,yes,yes,no,no,4,4,3,1,1,5,9,11,10,8
GP,M,19,R,GT3,T,2,2,services,teacher,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,3,1,4,11,12,13,14
GP,F,16,U,LE3,T,4,4,teacher,other,course,mother,3,4,1,no,no,yes,no,yes,no,yes,no,2,4,5,1,5,5,29,14,14,14
GP,F,15,U,LE3,A,4,1,at_home,at_home,course,mother,2,4,3,no,yes,no,yes,yes,yes,yes,no,3,2,5,2,1,5,32,11,9,9
GP,F,20,U,LE3,T,3,3,other,services,home,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,4,2,17,15,14,14
MS,M,21,U,GT3,T,4,4,other,at_home,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,2,1,5,13,11,11,0
GP,F,19,R,GT3,T,1,1,services,services,reputation,mother,1,2,2,yes,no,yes,yes,no,yes,no,yes,4,3,3,1,3,3,21,7,6,4
GP,M,19,U,GT3,T,0,0,services,at_home,course,other,2,2,0,yes,no,yes,no,yes,no,yes,no,2,4,1,1,2,5,20,13,14,0
GP,M,18,R,GT3,T,4,2,health,services,other,mother,1,1,2,no,no,no,yes,yes,yes,yes,no,5,2,4,1,5,1,0,7,4,4
GP,M,17,U,GT3,T,4,1,health,other,reputation,mother,3,1,3,no,no,yes,yes,yes,yes,no,no,4,1,4,1,2,5,14,8,5,4
MS,F,15,R,GT3,T,1,3,other,other,reputation,father,1,4,0,no,yes,yes,no,no,yes,no,yes,3,3,2,4,1,5,21,11,10,11
GP,F,17,U,GT3,T,2,4,services,at_home,reputation,mother,1,4,1,no,no,no,no,yes,yes,yes,no,4,3,1,5,3,5,31,9,9,11
GP,F,16,U,GT3,T,0,2,teacher,services,other,mother,1,1,1,no,yes,no,yes,yes,yes,yes,no,5,3,4,3,1,5,32,13,11,9
GP,M,16,U,GT3,A,2,2,at_home,services,other,mother,2,2,1,no,no,yes,yes,yes,no,yes,no,4,4,1,1,4,4,22,7,7,7
GP,F,18,U,GT3,T,4,2,services,other,home,father,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,2,2,1,4,4,1,15,16,15
GP,M,17,U,LE3,T,3,3,services,services,other,mother,1,1,0,yes,no,no,no,yes,yes,yes,yes,4,4,3,2,2,5,1,13,14,13
GP,F,15,U,GT3,T,2,0,health,services,other,father,1,2,0,no,no,no,yes,no,yes,no,no,3,3,2,4,4,5,28,12,14,13
GP,M,16,R,GT3,T,2,3,at_home,teacher,other,father,1,2,0,no,no,no,yes,yes,yes,no,yes,3,3,5,1,1,5,2,6,5,6
GP,M,18,U,GT3,T,0,3,other,at_home,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,5,3,3,2,5,6,16,15,14
GP,M,15,U,LE3,A,2,3,services,at_home,course,other,2,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,5,2,3,28,9,9,9
GP,M,19,U,GT3,T,3,2,other,other,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,4,5,3,3,4,22,14,15,14
GP,F,17,U,GT3,T,4,3,services,services,course,other,1,3,1,no,no,yes,yes,yes,yes,yes,yes,5,3,3,1,1,3,15,8,8,7
GP,F,17,U,GT3,T,4,1,other,services,course,father,2,2,3,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,1,3,5,30,5,4,2
GP,M,17,U,LE3,T,0,1,at_home,other,other,other,4,2,3,no,no,no,yes,yes,yes,yes,no,3,4,4,1,1,3,0,9,7,7
GP,F,19,U,GT3,A,4,4,health,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,5,3,2,3,5,17,13,15,15
MS,M,16,U,GT3,T,4,3,at_home,services,course,mother,2,1,2,no,yes,yes,yes,yes,yes,yes,no,3,4,3,1,1,2,14,5,3,4
GP,F,18,U,GT3,T,4,0,teacher,at_home,course,mother,3,1,1,no,no,no,no,yes,yes,yes,no,4,4,4,1,4,2,16,14,13,14
GP,F,17,U,GT3,T,3,2,health,services,home,mother,4,2,0,no,yes,yes,no,no,yes,yes,yes,4,3,4,2,1,3,9,11,12,14
GP,F,16,U,GT3,T,2,2,at_home,other,other,father,2,4,0,no,no,yes,no,yes,yes,yes,no,3,4,4,1,2,1,19,13,16,17
GP,M,19,U,GT3,T,2,2,teacher,health,course,mother,1,1,0,yes,no,yes,no,yes,yes,yes,no,3,4,5,1,1,5,5,10,9,9
GP,F,18,U,LE3,T,1,2,services,other,reputation,father,2,2,2,yes,yes,no,yes,no,yes,yes,no,4,1,4,2,3,2,7,5,5,4
GP,F,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,2,3,4,2,1,2,31,14,13,0
MS,M,19,U,GT3,T,2,2,other,at_home,reputation,mother,1,3,0,no,yes,yes,yes,no,yes,yes,yes,4,4,4,2,3,1,3,13,15,16
GP,M,19,R,LE3,T,3,3,health,teacher,other,father,1,1,1,no,yes,no,yes,no,yes,yes,no,4,3,1,1,1,5,19,7,8,6
GP,F,18,U,LE3,T,4,3,services,at_home,course,mother,2,4,0,no,no,no,no,no,yes,yes,no,4,3,3,2,3,5,23,15,15,14
GP,F,19,R,GT3,T,3,3,health,services,home,father,2,3,0,no,yes,no,no,no,yes,yes,no,4,4,4,2,1,2,23,12,13,14
GP,F,18,U,GT3,T,1,1,services,health,home,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,1,1,5,25,12,13,0
